drugName,condition,review,rating,usefulCount,condition_cat,stemmedReview
Alprazolam,Tinnitus,"""My ears were ringing like crazy, I was almost to start break down and cry, but I was reading on one guys experience on how to best the ringing and everything he went thru I was going thru so I stsrted to do exactly what he said is to tune it out cause the more you think about it the worse it gets because with titinus you csn become your own worst enemy. So I keep reading on other testimonials and read alot  of people took zanax and it seemed to quite the ringing down.  So I had a zanax 0.5mg took it also because I couldnt sleep, the next day I woke up with a slight ringing and as the day progressed it went completely away Thank the lord.I truly believe that this oh s a condition thats related to the nrevous system there is s cure out.""",10.0,87,122,my ear ring like crazi i almost start break cri i read guy experi best ring everyth went thru i go thru i stsrted exactli said tune caus think wors get titinu csn becom worst enemi so i keep read testimoni read alot peopl took zanax seem quit ring so i zanax mg took i couldnt sleep next day i woke slight ring day progress went complet away thank lord i truli believ oh condit that relat nrevou system cure
Fluoxetine,Major Depressive Disorde,"""I started Prozac as one of my first anti depressants for MDD

 It made me horribly sick. I was nauseous all day, and wouldn&#039;t eat for days at a time. I stayed on it to try and get thorough the side effects but they wouldn&#039;t stop, I was throwing up every other day

One day I woke up and I started to violently shake, This lasted for over 12 hours until I ended up in the hospital with Tachycardia. 

This was a horrible experience and months later I still have stomach and heart issues, I&#039;m on new medications now, But because of my bad experience I get very anxious when I take them""",2.0,18,78,i start prozac first anti depress mdd it made horribl sick i nauseou day eat day time i stay tri get thorough side effect stop i throw everi day one day i woke i start violent shake thi last hour i end hospit tachycardia thi horribl experi month later i still stomach heart issu i new medic but bad experi i get anxiou i
Aripiprazole,Depression,"""Intake Effexor XR 375 mg, and lorazepam for depression and anxiety. My doctor added Abilify and I took it in mornings. It made me foggy. I moved it to Bertie and sleep better overall. I have noticed an increase in irritability which equates to feeling extremely angry by 3 pm daily. I&#039;ve rearranged my lorazepam to reduce that but need more time. I&#039;m also having restlessness which almost feels manic. We shall see. Increased cravings for sweets.""",4.0,33,40,intak effexor xr mg lorazepam depress anxieti my doctor ad abilifi i took morn it made foggi i move berti sleep better overal i notic increas irrit equat feel extrem angri pm daili i rearrang lorazepam reduc need time i restless almost feel manic we shall see increas crave sweet
NuvaRing,Birth Control,"""I am torn by the Nuvaring. The convenience is great. There is no daily time to take a pill, only once a month which can easily be marked on a calender or put into a phone. It never falls out, I never feel it and changing it is simple, too. I would give the Nuvaring a 10 out of 10 just based upon the simplicity and the price is really reasonable, too. But, there are some downsides (for me personally). For the first few months, I did not notice side effects, although they are there. I have a VERY low tolerance to alcohol when on the Nuvaring. Very emotional, tired, and strung out all the time. I was on the pill before and none of these happened. I also have longer periods. It&#039;s worth a try, every girl seems to have a different experience!""",5.0,0,23,i torn nuvar the conveni great there daili time pill month easili mark calend put phone it never fall i never feel chang simpl i would give nuvar base upon simplic price realli reason but downsid person for first month i notic side effect although i veri low toler alcohol nuvar veri emot tire strung time i pill none happen i longer period it worth tri everi girl seem differ experi
Spironolactone,Acne,"""I&#039;m 30 years old.  I started having really bad skin about 2 years ago from maybe stress in my life.  But, I tried EVERYTHING to get rid of it and it just got worse.  I finally went to a dermatologist and she put me on spironolactone.  My skin started getting better in about two weeks. I LOVED it. I&#039;ve been taking it for about 6 months and I get compliments from Makeup artist and models (I&#039;m a hairstylist) about how good my skin is.  Another plus for me is my breasts went from a small B to a C! I decided to stop taking it for a week and my breasts went small again and my skin is getting a little oily. So I&#039;m going back on. I only take one a day.""",9.0,31,6,i year old i start realli bad skin year ago mayb stress life but i tri everyth get rid got wors i final went dermatologist put spironolacton my skin start get better two week i love i take month i get compliment makeup artist model i hairstylist good skin anoth plu breast went small b c i decid stop take week breast went small skin get littl oili so i go back i day
Fluvoxamine,Anxiety and Stress,"""I&#039;ve suffered from panic attacks and anxiety for years.  I took Paxil for many years, but its effectiveness waned, and I hated the weight gain and sexual side-effects that came with it.  I switched to Luvox, starting with 25mg and it worked miracles.  Eventually, I had to move up to 50mg and now for the last two years 75mg.  I have had no adverse effects, and it has been a lifesaver.  Eventually, when my son was diagnosed with panic disorder (certainly inherited from me, much like I inherited it from my mother), his doctor tried Luvox for him, too.  His assumption was that our genetic similarity and our similar diagnosis might be treated by the same medicine.  He was right. Both my son and I are living anxiety-free, panic attack-free lives.""",9.0,44,11,i suffer panic attack anxieti year i took paxil mani year effect wane i hate weight gain sexual side effect came i switch luvox start mg work miracl eventu i move mg last two year mg i advers effect lifesav eventu diagnos panic disord certainli inherit much like i inherit mother doctor tri luvox hi assumpt genet similar similar diagnosi might treat medicin he right both i live anxieti free panic attack free live
Macrobid,Urinary Tract Infection,"""Awful medicine, the worst. The side effects outweigh the benefit.  Headache the first night, leg and back pain, Sensitive skin,  just awful. Pain got worse and worse. I changed my meds to ciproflaxcin. I have used this in the past so hopefully, it will continue to help. I even questioned the doc at urgent care to see if I can take cipro and she offered macrobid. Maybe this urgent care and this medication is something they get a deal on....stay away from macrobid.""",1.0,16,128,aw medicin worst the side effect outweigh benefit headach first night leg back pain sensit skin aw pain got wors wors i chang med ciproflaxcin i use past hope continu help i even question doc urgent see i cipro offer macrobid mayb urgent medic someth get deal stay away macrobid
Lurasidone,Schizophrenia,"""I&#039;ve been on Latuda for a little under 2 and a half years. It almost completely stopped my psychotic symptoms except I still hear voices now and then, mainly when I try to go to sleep, but there are no delusions or paranoia while on the drug. I take cogentin in combination with it because it causes me to shake a lot. Main side effects I experience include anhedonia, shakiness, jaw clenching, and inability to sit still. However, I&#039;m happy with it because it actually works, while other antipsychotic meds I tried did not, and it doesn&#039;t cause the endless hunger that I experienced with drugs like Saphris, Haldol, Zyprexa, and Risperdal. It should be noted I am at the max daily dose, which is 160mg.""",8.0,0,110,i latuda littl half year it almost complet stop psychot symptom except i still hear voic mainli i tri go sleep delus paranoia i cogentin combin caus shake lot main side effect i experi includ anhedonia shaki jaw clench inabl still howev i happi actual work antipsychot med i tri caus endless hunger i experienc drug like saphri haldol zyprexa risperd it note i max daili dose mg
Adapalene / benzoyl peroxide,Acne,"""I&#039;ve seriously only been using Epiduo for four days and have seen A HUGE improvement. My skin is a little dry but I use Cetaphil moisturizer to balance it out. I am also using Doxycycline along with the topical treatment (Epiduo) and my acne is getting soooo much better. LOVE IT!""",8.0,12,6,i serious use epiduo four day seen a huge improv my skin littl dri i use cetaphil moistur balanc i use doxycyclin along topic treatment epiduo acn get soooo much better love it
Brimonidine,Rosacea,"""This cream is absolutely horrible. I will admit the cream initially does what is says it will do, gets rid of the redness. However this is completely temporary, around 6 hours in my experience. What comes afterward is a serious rebound. I spent the day outside in the cold weather (normally a trigger for me, which would normally warrant redness) and when I came back in around 6 hours later my face has never felt hotter in my life. My skin burned and was unbelievably deep red, it looked as if I had held my face up against a fire. This lasted around 2-3 hours. I used it once more thinking my skin needed to get used to it and the results were even worse. I threw away all of my samples after 2 days.""",1.0,16,109,thi cream absolut horribl i admit cream initi say get rid red howev complet temporari around hour experi what come afterward seriou rebound i spent day outsid cold weather normal trigger would normal warrant red i came back around hour later never felt hotter life my skin burn unbeliev deep red look i held fire thi last around hour i use think skin need get use result even wors i threw away sampl day
Amlodipine / olmesartan,High Blood Pressure,"""My blood pressure has been around 160/100. Doctor prescribed Azor 40/10. Just 4 hrs later my reading showed 120/82. I was amazed. I am now on it daily. Thanks to Azor.""",10.0,10,63,my blood pressur around doctor prescrib azor just hr later read show i amaz i daili thank azor
Loestrin 24 Fe,2</span> users found this comment helpful.,"""I&#039;m 16 and  I have been on Loestrin 24 for about a week and half. The day I got them (and started taking them) was a day after I stopped my period and two days ago I started my period it is like a normal. I don&#039;t think I have gained weight due to me being sick and therefore don&#039;t eat as much as I normally do but I did not lose weight like I normally do when I&#039;m sick. I have been getting cramps which I don&#039;t normally get except the first one or two days of my period. I have been really depressed and I&#039;m not a depressed person. I mean I was crying over the stupidest things like my mom not cooking dinner when I wasn&#039;t even hungry. I&#039;m going to talk to my doctor tomorrow.""",3.0,2,1,i i loestrin week half the day i got start take day i stop period two day ago i start period like normal i think i gain weight due sick therefor eat much i normal i lose weight like i normal i sick i get cramp i normal get except first two day period i realli depress i depress person i mean i cri stupidest thing like mom cook dinner i even hungri i go talk doctor tomorrow
Linaclotide,Irritable Bowel Syndrome,"""So far loving this. Stomach pain has almost disappeared, haven&#039;t had an attack in over a week. Down side is have to be near a bathroom about an hour after taking it but that is manageable. Hopefully it continues to work. Time will tell.""",8.0,17,73,so far love stomach pain almost disappear attack week down side near bathroom hour take manag hope continu work time tell
Mirtazapine,Anxiety,"""I used it at bed time along with Paxil. I have anxiety and at times insomnia. The lower the dose(@ 7.5 mg), the more it becomes a sleep aid. It worked well for both anxiety and insomnia.""",8.0,72,10,i use bed time along paxil i anxieti time insomnia the lower dose mg becom sleep aid it work well anxieti insomnia
Acetaminophen / hydrocodone,Pain,"""I suffer from chronic pain due to severe arthritis and stenosis in my lumbar spine. I take vicodin as needed to alleviate &#039;breakthrough&#039; pain, i.e., occasional pain so great that my usual daily maintenance dose of Embeda ER (morphine/naltrexone) cannot relieve it. It works well, with the usual opioid side effects, hence a score of 8.""",8.0,3,97,i suffer chronic pain due sever arthriti stenosi lumbar spine i vicodin need allevi breakthrough pain occasion pain great usual daili mainten dose embeda er morphin naltrexon cannot reliev it work well usual opioid side effect henc score
Isotretinoin,Acne,"""I just started this medication on April 1st and after 3 days I started seeing the effects and I can see it&#039;s taking it&#039;s course and working so far. The doctor started me on 40mg two times a day for 4 months. So far only side effect is dryness which was to be expected. """,7.0,10,6,i start medic april st day i start see effect i see take cours work far the doctor start mg two time day month so far side effect dryness expect
Ropinirole,Restless Legs Syndrome,"""Been dealing with restless leg syndrome.for about 2 years. It kept me from falling asleep. First they gave me flexiril. And it did nothing. Than a miracle came about and I was prescribed reprinol and my legs haven&#039;t twitched since . Amazing drug I must say. My sleep has improved greatly""",10.0,14,107,been deal restless leg syndrom year it kept fall asleep first gave flexiril and noth than miracl came i prescrib reprinol leg twitch sinc amaz i must say my sleep improv greatli
Zoledronic acid,Osteolytic Bone Metastases of Solid Tumors,"""I dreaded the side-effects and had NONE.  I had the intravenous infusion three days before Christmas 2011 and was scared that I would be flattened by the supposed side-effects like flu-like symptoms, bone ache and so forth and was pleasantly surprised.  I am having my second one in just ten days time and hopefully it will be a repeat of the first one.""",10.0,31,94,i dread side effect none i intraven infus three day christma scare i would flatten suppos side effect like flu like symptom bone ach forth pleasantli surpris i second ten day time hope repeat first
Lamictal,Bipolar Disorde,"""This is a very good medication IMO.  When you titrate up to the dose intended, you will notice subtle differences.  Many times I have thought that this had flattened me out but when I backed off the dose, symptoms came roaring back.  No noticeable side effects for me.  Helps stability very well, maybe the cause of some anxiety not much tho.""",9.0,46,22,thi good medic imo when titrat dose intend notic subtl differ mani time i thought flatten i back dose symptom came roar back no notic side effect help stabil well mayb caus anxieti much tho
Levonorgestrel,Birth Control,"""My time with skyla has been an absolute breeze. Ms. Skyla and i have been together since late october 2015 and it has been great. I must admit that the insertion is a bit painful,but you will soon forget. I got cramps for about a weekafter insertion. Nothing that a littlw ibuprofen couldnt tackle. I urge anyone who is thinking about skyla to just do it. I promise it is worth it. Please remember that pain is subjective. Meaning it just depends on the person. """,10.0,1,23,my time skyla absolut breez ms skyla togeth sinc late octob great i must admit insert bit pain soon forget i got cramp weekaft insert noth littlw ibuprofen couldnt tackl i urg anyon think skyla i promis worth pleas rememb pain subject mean depend person
Buspirone,Anxiety,"""Have tried Paxil and Lexapro which sent me into hyper-panic and GAD. I was about to give up on medicines and accept my miserable anxiety as a fact of life when my Doctor recommended Buspirone. I noticed my anxiety began to taper the second day I took the medication. No real side effects to speak of through my first week. The one thing it has delivered for me, HOPE!""",9.0,9,10,have tri paxil lexapro sent hyper panic gad i give medicin accept miser anxieti fact life doctor recommend buspiron i notic anxieti began taper second day i took medic no real side effect speak first week the thing deliv hope
Propranolol,Anxiety,"""I have been suffering with this anxiety problem for years and it was starting to interfere with my life.  I am a confident person socially, but my fear of presentations was huge and I would my voice would tremble to the extent where it sounded like I was full on crying. I researched medication for this fear and found propanolol. My doctor prescribed me with 80mg Half Inderal (Propanolol) and despite what some say, he was not hesitant about giving me a prescription and said he regularly gives it to musicians/public speakers etc. It has worked wonders for me, I no longer embarrass my self and now feel happy and confident. You may still feel nervy, but the adrenaline does not kick in. I have not suffered any symptoms and only take it seldomly.""",10.0,40,10,i suffer anxieti problem year start interfer life i confid person social fear present huge i would voic would trembl extent sound like i full cri i research medic fear found propanolol my doctor prescrib mg half inder propanolol despit say hesit give prescript said regularli give musician public speaker etc it work wonder i longer embarrass self feel happi confid you may still feel nervi adrenalin kick i suffer symptom seldomli
Focalin,ADHD,"""My 9 year old son has been on various medicines for ADHD since he was 6. We just switched to Focalin 10 mg about 2 weeks ago. We are noticing that by about 1:00 in the afternoon it is completely out of his system and there is no focus. We are going to try a booster dose of 5 mg in the afternoon. I&#039;m going to talk to our doctor about lowering his morning dose because he feels shaky and tired, which I thought would have subsided by now. His focus is terrific but I wonder if we can get the same results by knocking down the dose a bit and adding the booster. Other than that, his sleep and eating habits are the same. Whew!""",9.0,48,4,my year old variou medicin adhd sinc we switch focalin mg week ago we notic afternoon complet system focu we go tri booster dose mg afternoon i go talk doctor lower morn dose feel shaki tire i thought would subsid hi focu terrif i wonder get result knock dose bit ad booster other sleep eat habit whew
Ethinyl estradiol / levonorgestrel,Birth Control,"""I love Lutera. I am very sensitive to other forms of birth control. Lutera has been one of the only kinds I can take. 
Pros: light periods, no cramping, no intense side effects, bigger boobs.
Cons: Brown periods, slight weight gain. 
I also tend to get a bit emotional 1 or 2 days before my period....however I am always an emotional person so this could just be me. I have been on Lutera for 6 years ☺""",9.0,10,23,i love lutera i sensit form birth control lutera kind i pro light period cramp intens side effect bigger boob con brown period slight weight gain i tend get bit emot day period howev i alway emot person could i lutera year
Jolivette,Birth Control,"""I took Jolivette 6 weeks after I went home with my first baby.  A year after we went on vacation for four days and I forgot it at home. After vacation I took it and everything was fine. A week later I got my period. I thought it wasn&#039;t a big deal, or was maybe because I miss all those days. It last 5 days. 2 weeks after that again but now lasting 7 days. Then I started to get my period every week and now every 3 days! Lasting 7 days! Worked amazing in the beginning but I messed it up.""",8.0,10,23,i took jolivett week i went home first babi a year went vacat four day i forgot home after vacat i took everyth fine a week later i got period i thought big deal mayb i miss day it last day week last day then i start get period everi week everi day last day work amaz begin i mess
Levofloxacin,Bronchitis,"""I was prescribed this medicine for bronchitis, 500mg. for 7 days. It really cleared up the bronchitis, but left me with bad tendonitis in my right leg.  No telling how long this will go on.  I can barely walk when I first get up in the morning, although it gets better with gentle exercise.  I too have noticed crazy dreams, no dizziness, but I think it is causing me to make some bad decisions.  Do not take this medicine for anything under any conditions.  Find some other drug.  The side effects are unpredictable, come on after you have already stopped taking it, and are miserable.  I&#039;m going to try some of the remedies the other reviewers have mentioned.""",8.0,20,28,i prescrib medicin bronchiti mg day it realli clear bronchiti left bad tendon right leg no tell long go i bare walk i first get morn although get better gentl exercis i notic crazi dream dizzi i think caus make bad decis do medicin anyth condit find the side effect unpredict alreadi stop take miser i go tri remedi review mention
Phentermine / topiramate,Obesity,"""I have been using Qsymia for a little over 3 months. I have lost 50 pounds. I&#039;m 30, have 1 child and couldn&#039;t lose weight no matter how long I stayed in the gym. There is no magic pill that works for weight loss without DIET AND EXERCISE! You need to do these things to see these type of results! I will say in the beginning my side effects were awful I always felt tired but I pushed passed that and it went away. I have since gone off my blood pressure medicine as well. I would recommend following closely with your doctor if you are on BP meds though because my blood pressure dropped so quick I was fainting. Not from Qsymia but from getting healthy so fast.""",9.0,22,89,i use qsymia littl month i lost pound i child lose weight matter long i stay gym there magic pill work weight loss without diet and exercis you need thing see type result i say begin side effect aw i alway felt tire i push pass went away i sinc gone blood pressur medicin well i would recommend follow close doctor bp med though blood pressur drop quick i faint not qsymia get healthi fast
Cephalexin,Skin or Soft Tissue Infection,"""I try not to take medicine unless I am really sick but my doctor recommended I take cephalexin for a small cyst on my eye lid.  I decided to try it because antibiotics are one of the medicines I believe are very good when you are sick and your body needs a little help to heal.  My dosage was three 500mg per day for 10 days.  After the first day I developed stomach cramps and diarrhea.  I was not sure if it was due to the medicine so I continued to take the cephalexin for two more days.   When the condition did not get any better I stopped taking the cephalexin.  It has now been a week since I first took the cephalexin and I still have stomach cramps and diarrhea.  I advised my doctor&#039;s office of my problem but they have not called me yet.""",1.0,7,116,i tri medicin unless i realli sick doctor recommend i cephalexin small cyst eye lid i decid tri antibiot medicin i believ good sick bodi need littl help heal my dosag three mg day day after first day i develop stomach cramp diarrhea i sure due medicin i continu cephalexin two day when condit get better i stop take cephalexin it week sinc i first took cephalexin i still stomach cramp diarrhea i advis doctor offic problem call yet
Aviane,Birth Control,"""I took Aviane for about 3 years. I gained very little weight when I began taking it, but quickly dropped the lbs when I started paying attention to how I was eating. I never had any issues with an irregular period or acne, but my main side effect was moodiness. It took me a couple of years to figure out why I&#039;d become this hyperemotional person, but then after much research, realized it was the Aviane. I began to pay attention to my moods and regulate my mood swings, which helped. I&#039;ve been off the pill for over a year now, but if I had to go back on birth control, I would choose this one again.""",9.0,3,23,i took avian year i gain littl weight i began take quickli drop lb i start pay attent i eat i never issu irregular period acn main side effect moodi it took coupl year figur i becom hyperemot person much research realiz avian i began pay attent mood regul mood swing help i pill year i go back birth control i would choos
Etonogestrel,Birth Control,"""I was put on this birth control when I was 15 I was 150lbs I gained 50lbs then I replaced it and got a new one and I&#039;m gaining even more weight it barely helps with periods anymore my periods last for 5 weeks at a time now and barely anytime in between to have a break""",3.0,0,23,i put birth control i i lb i gain lb i replac got new i gain even weight bare help period anymor period last week time bare anytim break
Saxenda,Obesity,"""I&#039;ve been on this medication almost a full month. I never feel hungry and have been eating WAY less than I ever have, however the scale has not moved. Bad heartburn has been my only side effect. I&#039;ll try it one more month and then if no weight loss, I&#039;m going to stop. Disappointed...and I had to pay $1,000 out of pocket!""",1.0,17,89,i medic almost full month i never feel hungri eat way less i ever howev scale move bad heartburn side effect i tri month weight loss i go stop disappoint i pay pocket
Clomipramine,Obsessive Compulsive Disorde,"""This med caused me to hear internal voices (auditory hallucinations, but in my head). Made me paranoid, anxious, scared to be alone, tired, nauseated, no appetite,  and felt schizophrenic. Started at 50 mg, coming off immediately, per my PDoc. I hope it gives you relief, as most seem satisfied. Bummer it wasn&#039;t my life saver.""",1.0,3,90,thi caus hear intern voic auditori hallucin head made paranoid anxiou scare alon tire nauseat appetit felt schizophren start mg come immedi pdoc i hope give relief seem satisfi bummer life saver
Medroxyprogesterone,Endometriosis,"""Depo has been great for relief of pain from endometriosis. I am on my 3rd shot. No more period, but I do spot the whole month before the next shot is due. I am hoping that will stop as my body gets used to it more. The shot is painless, the only side effect I have noticed is minor weight gain and my sex drive has decreased a bit. I am okay with that at least the pain is gone. I got scared reading what everyone had to say about this drug and almost didn&#039;t get it. I am glad I took the chance to see how &quot;I&quot; reacted to it. Everyone is different. I am very satisfied with it.""",9.0,51,48,depo great relief pain endometriosi i rd shot no period i spot whole month next shot due i hope stop bodi get use the shot painless side effect i notic minor weight gain sex drive decreas bit i okay least pain gone i got scare read everyon say almost get i glad i took chanc see quot i quot react everyon differ i satisfi
Ethinyl estradiol / levonorgestrel,Birth Control,"""I&#039;ve been on Jolessa for 6 months.  I decided to try this because I get bad headaches during my period (even though they&#039;d only last 3 days, 4 days at most) and I wanted to avoid it altogether.  The first two months, it was great.  Then my period arrived a month early and the bleeding lasted for 25 days, mostly light.  I had already picked up my next 90 day pack so I figured I&#039;d try to get through that and if I still had the bleeding, I&#039;d talk to my doctor about another birth control.  No need to do that because Jolessa is now working perfectly for me.  It&#039;s been wonderful not having a period for a few months.  I&#039;d recommend this birth control to anyone.""",10.0,23,23,i jolessa month i decid tri i get bad headach period even though last day day i want avoid altogeth the first two month great then period arriv month earli bleed last day mostli light i alreadi pick next day pack i figur i tri get i still bleed i talk doctor anoth birth control no need jolessa work perfectli it wonder period month i recommend birth control anyon
Aczone,Acne,"""I am female in her early 30&#039;s - about 3 years ago I developed adult acne after years of relatively clear skin. Benzyol peroxide had been my miracle acne product but then I developed contact dermatitis and could no longer use it :( I honestly could not go more than a day without a new pimple developing despite using other prescription acne grade products, vitamin A as well as expensive spa treatments. I have been on Aczone about a month and have had instant results, I have not had a cystic pimple since. I still get blackheads and have milia on my chin/jawline but no pimples/whiteheads/cysts to speak of and have had no issues with dry skin. The product is pricey but I will save in the long run not wasting my money on others that don&#039;t work.""",8.0,7,6,i femal earli year ago i develop adult acn year rel clear skin benzyol peroxid miracl acn product i develop contact dermat could longer use i honestli could go day without new pimpl develop despit use prescript acn grade product vitamin a well expens spa treatment i aczon month instant result i cystic pimpl sinc i still get blackhead milia chin jawlin pimpl whitehead cyst speak issu dri skin the product pricey i save long run wast money other work
Nicoderm CQ,Smoking Cessation,"""I smoked for 32 years and tried different times and products to help me stop but always failed.  My doctor and I agreed for me to try the Nicoderm CQ patch and it&#039;s really helping me. I have no urges to smoke and am now on Day 8.  The only thing I found out is that I have red swollen itchy skin where the patches were worn. Need to talk to the doctor but office is closed on the weekends.  I&#039;m thinking I could be allergic to them but don&#039;t want to stop them because they are working for me""",8.0,50,117,i smoke year tri differ time product help stop alway fail my doctor i agre tri nicoderm cq patch realli help i urg smoke day the thing i found i red swollen itchi skin patch worn need talk doctor offic close weekend i think i could allerg stop work
Dextromethorphan,Cough,"""Gave this high priced, 12 hour cough &quot;suppressant&quot; in the kiddie version, to my 6 year old. The only thing it suppressed, was his ability to sleep. Worse product I&#039;ve ever purchased for him.""",1.0,3,37,gave high price hour cough quot suppress quot kiddi version year old the thing suppress abil sleep wors product i ever purchas
Naltrexone,Opiate Dependence,"""I&#039;m Planning to be  put in 17 Days in residential treatment and follow it up with vivitrol injection.  I just worry because I hear that it&#039;s incredibly painful, but I an only really trying to get away from the subs... I&#039;m down to less than 6mg but I&#039;ve been IV&#039;ing them.  I still wouldn&#039;t think my bupe dose is high enough to worry about after 15 - 17 days... 
A friend did tell me that if you are clean enough to be eligible for it, it will make you feel like a million bucks! I&#039;m extremely hopeful, and was hoping for some insight and / or advice, but I believe this is an awesome chance to get my life back, even though I am afraid of the sword length rig they use to do it... 
I just hope it all goes as well as planned, or better... 
#VeryAnxiousNow""",6.0,14,92,i plan put day residenti treatment follow vivitrol inject i worri i hear incred pain i realli tri get away sub i less mg i iv ing i still think bupe dose high enough worri day a friend tell clean enough elig make feel like million buck i extrem hope hope insight advic i believ awesom chanc get life back even though i afraid sword length rig use i hope goe well plan better veryanxiousnow
Restasis,Keratoconjunctivitis Sicca,"""I was prescribed Restasis by my ophthalmologist due to severe dry eye caused by Accutune. I was given a card that gave me a discount since I did not have private health insurance and used each vile over 2-3 days so that it became effectively very cheap for me to use. I had side effects at first, burning eyes and blurred vision. I was told it takes a minimum of 3 months to see any benefits so I kept using it. It worked almost too well, as my eyes started producing tears so much that my eyes would water all the time. I stopped using the product after 1 year, and my eyes have improved so much I no longer need to use it, although I still use regular over the counter eye drops (Systane Balance) once or twice a day as needed""",9.0,40,74,i prescrib restasi ophthalmologist due sever dri eye caus accutun i given card gave discount sinc i privat health insur use vile day becam effect cheap use i side effect first burn eye blur vision i told take minimum month see benefit i kept use it work almost well eye start produc tear much eye would water time i stop use product year eye improv much i longer need use although i still use regular counter eye drop systan balanc twice day need
Depo-Provera,Birth Control,"""Decreased my sex drive and physically in a lot more pain in my joints... It&#039;s good for women over 25 but under 25 is not the best""",6.0,1,23,decreas sex drive physic lot pain joint it good women best
Olanzapine,Bipolar Disorde,"""I started 5mg of olanzapine last night. I have not slept or felt calm in a couple months. I have dealt with Bipolar 1 and ADHD for many years. I went to my Psychiatrist and was told that for my condition I should not be on things like Celexa that I was taking at 40mg at night. Those serotonin medications can hype me up especially at night. So the only other medicine I take is Inderal LA 120mg for tremors I have from a neurological condition since childhood. I slept great last night for the first time in a long time. I also feel much more at ease in gathering my thoughts and focus. I just hope it continues and I do my part in staying stable too.""",9.0,9,22,i start mg olanzapin last night i slept felt calm coupl month i dealt bipolar adhd mani year i went psychiatrist told condit i thing like celexa i take mg night those serotonin medic hype especi night so medicin i inder la mg tremor i neurolog condit sinc childhood i slept great last night first time long time i feel much eas gather thought focu i hope continu i part stay stabl
Oxytrol,Overactive Bladde,"""Great product I have been on other drugs that gave me back side effects-rash, itching, dry mouth, constipation, headache, dizziness, back pain, etc. I urinate on average 20-40 times a day every approx 15-20 minutes, after using the patch I went as long as 2 hours without using restroom. my skin is irritated and red but better than spending my whole day in the bathroom. I cant believe my doctor didn&#039;t put me on this over the counter drug first before spending hundreds of dollars on prescription medications. I have suffered for over 30 yrs with the issue of urgency and frequency this is a miracle for me.  Praise the LORD""",9.0,60,96,great product i drug gave back side effect rash itch dri mouth constip headach dizzi back pain etc i urin averag time day everi approx minut use patch i went long hour without use restroom skin irrit red better spend whole day bathroom i cant believ doctor put counter first spend hundr dollar prescript medic i suffer yr issu urgenc frequenc miracl prais lord
Fentanyl,Breakthrough Pain,"""I was essentially mis-prescribed Actiq when I should have been getting fentanyl patches for my cancer pain.  This caused problems with both bolus dosing (transient overdosage) and build-up of opioid tolerance with the Actiq that have not been nearly as great a problem with fentanyl patches.

Other patients may have different experiences; however for chronic cancer pain, the patches might be considered before use of Actiq.""",6.0,17,25,i essenti prescrib actiq i get fentanyl patch cancer pain thi caus problem bolu dose transient overdosag build opioid toler actiq nearli great problem fentanyl patch other patient may differ experi howev chronic cancer pain patch might consid use actiq
Epiduo,Acne,"""My experience with this product is a lot different from everyone else&#039;s. I have never had a really really bad acne just a few spots here and there so when I went to see the dermatologist they prescribed me this gel to put on every night over my whole face. Firstly everything was going fine I didn&#039;t see a difference and then after a week my skin had cleared up and it look flawless. However one night when I put my cream on and then waking up on the next morning my skin was literally burnt and my forehead was covered in those little spots which was terrible and they looked even worse with make up on because it was extremely bumpy. I stopped using the gel and it when away but was really bad.""",3.0,1,6,my experi product lot differ everyon els i never realli realli bad acn spot i went see dermatologist prescrib gel put everi night whole firstli everyth go fine i see differ week skin clear look flawless howev night i put cream wake next morn skin liter burnt forehead cover littl spot terribl look even wors make extrem bumpi i stop use gel away realli bad
Etonogestrel,Birth Control,"""I absolutely love Nexplanon! Ladies, at first I was super hesitant but I had to get off the Trinessa birth control because it caused me too much bloating and I was miserable 3 weeks out of the month. I was so excited to get the implant but the reviews I read freaked me out. The process was super easy and fast. The most uncomfortable part was the numbing process (it stung a bit). I didn&#039;t feel the implant insertion at all. There was bruising for about a week and it itched quite a bit but it went away after a week once it was fairly healed. As far as side effects, I felt a bit moody for about 2 weeks and I had a headache for a few days when I first got the implant. I&#039;ve had ZERO bleeding and NO weight gain.""",9.0,8,23,i absolut love nexplanon ladi first i super hesit i get trinessa birth control caus much bloat i miser week month i excit get implant review i read freak the process super easi fast the uncomfort part numb process stung bit i feel implant insert there bruis week itch quit bit went away week fairli heal as far side effect i felt bit moodi week i headach day i first got implant i zero bleed no weight gain
Levonorgestrel,Birth Control,"""I&#039;m 27 w/ two kids. After my second child was born in 2008 I suffered from almost daily tension/migraine headaches. I wanted to try Mirena as a solution to birth control and possibly help my headaches. After 4 months my headaches are slightly better but I have had some noticeable side effects; 10-15 lbs weight gain, increased discharge, longer periods, and cramping after sex or exercise. """,2.0,2,23,i w two kid after second child born i suffer almost daili tension migrain headach i want tri mirena solut birth control possibl help headach after month headach slightli better i notic side effect lb weight gain increas discharg longer period cramp sex exercis
